id,title,release_date,poster_path,description,genre
603,The Matrix,3/30/1999,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Action/Science Fiction/
9947,Elektra,1/13/2005,/9Azi1GBNj3gPPwmQWAMcATg7JOl.jpg,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Action/Fantasy/Science Fiction/
9480,Daredevil,2/14/2003,/oCDBwSkntYamuw8VJIxMRCtDBmi.jpg,"He dwells in a world of eternal night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",Fantasy/Action/Crime/Science Fiction/Thriller/
8867,The Punisher,10/5/1989,/tA0O0hYyHX7Hl2Fl8VEtGtfBtjI.jpg,"The avenging angel of Marvel Comics fame comes brilliantly to life in this searing action-adventure thriller! Dolph Lundgren stars as Frank Castle, a veteran cop who loses his entire family to a mafia car bomb. Only his ex-partner believes Castle survived the blast to become THE PUNISHER ... a shadowy, invincible fighter against evil who lives for total revenge on his mob enemies.",Action/Thriller/
13056,Punisher: War Zone,12/5/2008,/s7f6y9xJXhIOzgSASqZrbIZx0m1.jpg,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.",Action/Crime/
1930,The Amazing Spider-Man,6/23/2012,/dQ8TOCYgP9pzQvSb1cmaalYqdb5.jpg,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",Action/Adventure/Fantasy/
71676,Ghost Rider: Spirit of Vengeance,12/11/2011,/fDtIZXLNreDHk3mOskJYABrQNOQ.jpg,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",Action/Fantasy/Thriller/
127585,X-Men: Days of Future Past,5/15/2014,/bvN8iUpHyBIvniUk4e52SUZMA7Z.jpg,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,Action/Adventure/Fantasy/Science Fiction/
1771,Captain America: The First Avenger,7/22/2011,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",Action/Adventure/Science Fiction/
284053,Thor: Ragnarok,10/25/2017,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",Action/Adventure/Comedy/Fantasy/
36648,Blade: Trinity,12/8/2004,/sdD7x8bV3dD3Dh92UdZrZTaeH1t.jpg,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed—The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him—the original vampire, Dracula.",Action/Horror/Fantasy/
1,Test1,11/16/2020,/a,test description,Action/Comedy
2,Test2,11/17/2020,/b,test description,Action/Horror
3,Test3,11/16/2020,/c,test description,Action/Comedy/Adventure
